196 17 171 19 52
490 94 395 30 69
198 15 89 18 42
213 15 194 18 42
382 84 205 24 72
205 19 185 20 47
295 91 202 23 73
292 96 194 25 88
396 16 379 18 45
206 16 188 18 51
294 92 201 24 68
305 16 286 18 54
284 89 194 22 77
303 19 278 21 42
301 93 207 17 43
199 15 183 18 55
287 16 270 18 43
301 13 286 24 79
204 15 187 18 55
288 22 265 28 66
206 21 183 22 50
196 15 179 19 50
294 17 276 18 53
303 98 203 23 84
197 28 168 25 80
294 89 198 24 69
192 21 79 24 54
305 17 287 17 52
296 90 204 22 83
200 93 106 36 79
296 88 207 19 55
491 99 390 12 41
198 20 176 21 40
204 16 185 18 46
294 90 203 26 79
300 93 206 21 50
291 90 199 39 53
203 15 186 18 41
203 20 181 22 42
294 86 206 16 53
300 90 208 16 53
197 86 110 17 80
285 85 198 15 43
407 23 383 26 71
194 26 167 27 75
299 20 278 23 56
295 90 199 16 42
198 20 177 24 72
292 18 272 22 41
306 16 289 19 69
291 89 201 17 42
295 16 278 16 48
198 25 170 27 79
304 15 288 17 42
296 92 197 20 44
300 92 207 17 41
295 14 274 17 54
303 92 209 28 80
302 90 210 23 67
292 86 195 19 71
398 86 311 20 71
385 87 297 17 47
299 17 281 18 52
296 13 281 17 52
298 17 279 18 69
304 16 280 18 41
199 21 177 15 43
290 90 198 17 42
302 14 286 17 47
299 95 203 24 62
392 92 198 28 67
209 97 110 37 70
196 44 151 18 42
399 88 310 18 51
294 87 205 17 55
295 90 199 20 40
292 15 184 18 44
298 16 280 17 45
307 20 282 26 76
191 89 95 24 67
299 93 205 18 41
394 92 301 17 41
202 15 185 18 51
197 23 173 23 75
395 20 374 23 41
295 13 280 22 70
305 16 287 29 71
195 30 164 25 71
495 90 404 17 49
289 88 200 16 48
203 14 187 17 45
296 92 203 23 47
303 15 287 17 45
296 88 199 29 80
389 93 206 33 69
111 15 94 17 47
391 15 374 17 43
297 92 203 15 41
299 15 282 16 45
300 92 206 14 42
290 91 105 16 45
301 98 202 18 46
302 94 206 17 47
288 25 168 25 62
306 15 289 18 55
297 90 206 15 41
297 19 276 24 69
304 91 211 18 45
385 15 368 18 49
307 16 289 16 40
297 91 204 20 57
